Country,Continent,Region,Landlocked,Is_island,Which_ocean,Number_of_land_borders,Largest_biome,Has_desert,Has_rainforest,Has_mountains,Average_altitude_band,Volcanic_activity,Climate_zone,Average_temperature_band,Has_tropical_region,Has_arctic_region,Monsoon_season,Average_rainfall_band,Population_band,Population_density_band,Official_language_family,Number_of_official_languages,Dominant_religion,Urbanisation_rate_band,Median_age_band,Gdp_per_capita_band,Primary_industry,Major_export_category,Currency_type,Government_type,Un_member,Nato_member,Commonwealth_member,Eu_member,Gained_independence_after_1900,Drives_on_left,Metric_system,Colonial_history
Dominica,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Older (35-42),"High ($15,000-$40,000)",agriculture,agricultural products,Eastern Caribbean Dollar (ECCU),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Dominican Republic,North America,Caribbean,No,Yes,Atlantic,1,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,services,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Ecuador,South America,South America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,3,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,US Dollar (official use),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Egypt,Africa,Northern Africa,No,No,Atlantic,4,desert,Yes,No,Yes,Low-to-moderate (200-500m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Large (50M-200M),Sparse (25-100),Afro-Asiatic,1,Islam,Rural-leaning (30-50%),Middle (25-35),"Lower-middle ($1,000-$4,000)",services,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
El Salvador,North America,Central America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,textiles,US Dollar (official use),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Equatorial Guinea,Africa,Middle Africa,No,No,Atlantic,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,3,Christianity,Mixed (50-70%),Very young (< 20),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,CFA Franc Central,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Eritrea,Africa,Eastern Africa,No,No,Indian,3,desert,Yes,No,Yes,Moderate (500-1000m),Yes,Arid,Warm (20-25 C),Yes,No,No,Arid (< 250 mm),Small (1M-10M),Sparse (25-100),Afro-Asiatic,3,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,one-party state,Yes,No,No,No,Yes,No,Yes,Yes
Estonia,Europe,Northern Europe,No,No,Atlantic,2,boreal forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Uralic,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Eswatini,Africa,Southern Africa,Yes,No,None,2,savanna,No,No,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,2,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),absolute monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Ethiopia,Africa,Eastern Africa,Yes,No,None,6,savanna,No,No,Yes,High (1000-2000m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Afro-Asiatic,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,federal parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Fiji,Oceania,Melanesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,3,Christianity,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",tourism,agricultural products,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Finland,Europe,Northern Europe,No,No,Atlantic,3,boreal forest,No,No,No,Lowland (mean elevation < 200m),No,Polar,Cold (0-10 C),No,Yes,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Uralic,2,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
France,Europe,Western Europe,No,No,Atlantic,8,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,semi-presidential republic,Yes,Yes,No,Yes,No,No,Yes,Yes
Gabon,Africa,Middle Africa,No,No,Atlantic,3,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,1,Christianity,Highly urban (> 85%),Very young (< 20),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,CFA Franc Central,transitional/provisional government,Yes,No,Yes,No,Yes,No,Yes,Yes
Gambia,Africa,Western Africa,No,No,Atlantic,1,savanna,No,No,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Georgia,Asia,Western Asia,No,No,Atlantic,4,mountain/alpine,No,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Kartvelian,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,services,own free-floating currency,semi-presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Germany,Europe,Western Europe,No,No,Atlantic,9,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",manufacturing,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,No,No,Yes,Yes
Ghana,Africa,Western Africa,No,No,Atlantic,3,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Christianity,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Greece,Europe,Southern Europe,No,No,Atlantic,4,mediterranean shrubland,No,No,Yes,Moderate (500-1000m),Yes,Mediterranean,Warm (20-25 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,services,Euro,parliamentary republic,Yes,Yes,No,Yes,No,No,Yes,No
Grenada,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Rural-leaning (30-50%),Middle (25-35),"High ($15,000-$40,000)",tourism,agricultural products,Eastern Caribbean Dollar (ECCU),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Guatemala,North America,Central America,No,No,Pacific,4,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Rural-leaning (30-50%),Middle (25-35),"Upper-middle ($4,000-$15,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Guinea,Africa,Western Africa,No,No,Atlantic,6,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Moderate (100-300),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,military junta,Yes,No,No,No,Yes,No,Yes,Yes
Guinea-Bissau,Africa,Western Africa,No,No,Atlantic,2,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,transitional/provisional government,Yes,No,Yes,No,Yes,No,Yes,Yes
Guyana,South America,South America,No,No,Atlantic,3,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,1,Christianity,Rural-leaning (30-50%),Middle (25-35),"High ($15,000-$40,000)",oil & gas,oil & gas,own pegged currency (other),presidential republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Haiti,North America,Caribbean,No,Yes,Atlantic,1,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,2,Christianity,Mixed (50-70%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,textiles,own free-floating currency,transitional/provisional government,Yes,No,No,No,No,No,Yes,Yes
Honduras,North America,Central America,No,No,Atlantic,3,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,No,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,1,Christianity,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",agriculture,textiles,own pegged currency (other),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Hungary,Europe,Eastern Europe,Yes,No,None,7,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Uralic,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",manufacturing,machinery,own free-floating currency,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Iceland,Europe,Northern Europe,No,Yes,Atlantic,0,tundra,No,No,Yes,Moderate (500-1000m),Yes,Polar,Cold (0-10 C),No,Yes,No,Wet (1000-2000 mm),Micro (< 1M),Very sparse (< 25),Indo-European,1,Christianity,Highly urban (> 85%),Older (35-42),"Very high (> $40,000)",services,services,own free-floating currency,parliamentary republic,Yes,Yes,No,No,Yes,No,Yes,No
India,Asia,Southern Asia,No,No,Indian,6,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Mega (> 200M),Dense (300-1000),Indo-European,22,Hinduism,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",services,services,own free-floating currency,federal parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Indonesia,Asia,Southeast Asia,No,Yes,Pacific,3,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Mega (> 200M),Moderate (100-300),Austronesian,1,Islam,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",manufacturing,oil & gas,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Iran,Asia,Western Asia,No,No,Indian,7,desert,Yes,Yes,Yes,High (1000-2000m),Yes,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Large (50M-200M),Sparse (25-100),Indo-European,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,own free-floating currency,theocracy,Yes,No,No,No,Yes,No,Yes,Yes
Iraq,Asia,Western Asia,No,No,Indian,6,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Medium (10M-50M),Moderate (100-300),Afro-Asiatic,2,Islam,Urban-leaning (70-85%),Young (20-25),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Ireland,Europe,Northern Europe,No,Yes,Atlantic,1,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,2,Christianity,Urban-leaning (70-85%),Older (35-42),"Very high (> $40,000)",services,machinery,Euro,parliamentary republic,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Israel,Asia,Western Asia,No,No,Atlantic,4,desert,Yes,No,Yes,Low-to-moderate (200-500m),No,Mediterranean,Warm (20-25 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Dense (300-1000),Afro-Asiatic,2,Judaism,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",services,technology,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Italy,Europe,Southern Europe,No,No,Atlantic,6,mediterranean shrubland,No,No,Yes,Moderate (500-1000m),Yes,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,parliamentary republic,Yes,Yes,No,Yes,No,No,Yes,Yes
Jamaica,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Small (1M-10M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"Upper-middle ($4,000-$15,000)",services,services,own free-floating currency,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Japan,Asia,Eastern Asia,No,Yes,Pacific,0,temperate forest,No,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),No,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Dense (300-1000),Japonic,1,Shinto,Highly urban (> 85%),Aged (> 42),"High ($15,000-$40,000)",manufacturing,vehicles,own free-floating currency,constitutional monarchy,Yes,No,No,No,Yes,Yes,Yes,Yes
Jordan,Asia,Western Asia,No,No,Indian,5,desert,Yes,No,Yes,Lowland (< 200m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Medium (10M-50M),Sparse (25-100),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Young (20-25),"Upper-middle ($4,000-$15,000)",services,services,own pegged currency (other),constitutional monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Kazakhstan,Asia,Central Asia,Yes,No,None,5,grassland,No,No,Yes,Moderate (500-1000m),No,Temperate,Cold (0-10 C),No,No,No,Semi-arid (250-500 mm),Medium (10M-50M),Very sparse (< 25),Turkic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,oil & gas,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Kenya,Africa,Eastern Africa,No,No,Indian,5,savanna,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Large (50M-200M),Moderate (100-300),Niger-Congo,2,Christianity,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Kiribati,Oceania,Micronesia,No,Yes,Pacific,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Micro (< 1M),Moderate (100-300),Austronesian,2,Christianity,Mixed (50-70%),Middle (25-35),"Lower-middle ($1,000-$4,000)",fisheries,agricultural products,own pegged currency (other),presidential republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Kosovo,Europe,Southern Europe,Yes,No,None,4,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Indo-European,2,Islam,Rural-leaning (30-50%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,minerals,Euro,parliamentary republic,No,No,No,No,Yes,No,Yes,No
Kuwait,Asia,Western Asia,No,No,Indian,2,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Dense (300-1000),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",oil & gas,oil & gas,own pegged currency (other),constitutional monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Kyrgyzstan,Asia,Central Asia,Yes,No,None,4,mountain/alpine,No,No,Yes,Very high (> 2000m),No,Highland,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Turkic,1,Islam,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Laos,Asia,Southeast Asia,Yes,No,None,5,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Austroasiatic,1,Buddhism,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,one-party state,Yes,No,No,No,Yes,No,Yes,Yes
Latvia,Europe,Northern Europe,No,No,Atlantic,4,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,agricultural products,Euro,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Lebanon,Asia,Western Asia,No,No,Atlantic,2,mediterranean shrubland,No,No,Yes,Moderate (500-1000m),No,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Dense (300-1000),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,services,own pegged currency (other),parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Lesotho,Africa,Southern Africa,Yes,No,None,1,mountain/alpine,No,No,Yes,Very high (> 2000m),No,Highland,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,2,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,textiles,own pegged currency (other),constitutional monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Liberia,Africa,Western Africa,No,No,Atlantic,3,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Small (1M-10M),Moderate (100-300),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
