Country,Continent,Region,Landlocked,Is_island,Which_ocean,Number_of_land_borders,Largest_biome,Has_desert,Has_rainforest,Has_mountains,Average_altitude_band,Volcanic_activity,Climate_zone,Average_temperature_band,Has_tropical_region,Has_arctic_region,Monsoon_season,Average_rainfall_band,Population_band,Population_density_band,Official_language_family,Number_of_official_languages,Dominant_religion,Urbanisation_rate_band,Median_age_band,Gdp_per_capita_band,Primary_industry,Major_export_category,Currency_type,Government_type,Un_member,Nato_member,Commonwealth_member,Eu_member,Gained_independence_after_1900,Drives_on_left,Metric_system,Colonial_history
Libya,Africa,Northern Africa,No,No,Atlantic,6,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very sparse (< 25),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",oil & gas,oil & gas,own pegged currency (other),transitional/provisional government,Yes,No,No,No,Yes,No,Yes,Yes
Liechtenstein,Europe,Western Europe,Yes,No,None,2,mountain/alpine,No,No,Yes,High (1000-2000m),No,Highland,Cold (0-10 C),No,No,No,Wet (1000-2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"Very high (> $40,000)",finance,machinery,own pegged currency (other),constitutional monarchy,Yes,No,No,No,No,No,Yes,No
Lithuania,Europe,Northern Europe,No,No,Atlantic,4,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Cold (0-10 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,semi-presidential republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Luxembourg,Europe,Western Europe,Yes,No,None,3,temperate forest,No,No,No,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Micro (< 1M),Moderate (100-300),Indo-European,3,Christianity,Highly urban (> 85%),Older (35-42),"Very high (> $40,000)",finance,services,Euro,constitutional monarchy,Yes,Yes,No,Yes,No,No,Yes,No
Madagascar,Africa,Eastern Africa,No,Yes,Indian,0,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Sparse (25-100),Austronesian,2,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,semi-presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Malawi,Africa,Eastern Africa,Yes,No,None,3,savanna,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Medium (10M-50M),Dense (300-1000),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Malaysia,Asia,Southeast Asia,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Moderate (100-300),Austronesian,1,Islam,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",manufacturing,electronics,own free-floating currency,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Maldives,Asia,Southern Asia,No,Yes,Indian,0,tropical rainforest,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Micro (< 1M),Dense (300-1000),Indo-European,1,Islam,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",tourism,services,own pegged currency (other),presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Mali,Africa,Western Africa,Yes,No,None,7,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),Yes,No,No,Arid (< 250 mm),Medium (10M-50M),Very sparse (< 25),Niger-Congo,1,Islam,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,CFA Franc West,military junta,Yes,No,Yes,No,Yes,No,Yes,Yes
Malta,Europe,Southern Europe,No,Yes,Atlantic,0,mediterranean shrubland,No,No,No,Lowland (mean elevation < 200m),No,Mediterranean,Warm (20-25 C),No,No,No,Semi-arid (250-500 mm),Micro (< 1M),Very dense (> 1000),Afro-Asiatic,2,Christianity,Highly urban (> 85%),Older (35-42),"High ($15,000-$40,000)",services,services,Euro,parliamentary republic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Marshall Islands,Oceania,Micronesia,No,Yes,Pacific,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Austronesian,2,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,services,US Dollar (official use),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Mauritania,Africa,Western Africa,No,No,Atlantic,4,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very sparse (< 25),Afro-Asiatic,1,Islam,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Mauritius,Africa,Eastern Africa,No,Yes,Indian,0,tropical rainforest,No,Yes,Yes,Lowland (< 200m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Very wet (> 2000 mm),Small (1M-10M),Dense (300-1000),Indo-European,1,Hinduism,Highly urban (> 85%),Middle (25-35),"High ($15,000-$40,000)",services,services,own free-floating currency,parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Mexico,North America,Central America,No,No,Pacific,3,desert,Yes,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,No,Moderate (500-1000 mm),Large (50M-200M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",manufacturing,vehicles,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Micronesia,Oceania,Micronesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Moderate (100-300),Austronesian,1,Christianity,Rural-leaning (30-50%),Middle (25-35),"Upper-middle ($4,000-$15,000)",services,agricultural products,US Dollar (official use),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Moldova,Europe,Eastern Europe,Yes,No,None,2,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Rural-leaning (30-50%),Older (35-42),"Upper-middle ($4,000-$15,000)",agriculture,agricultural products,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,No
Monaco,Europe,Western Europe,No,No,Atlantic,1,mediterranean shrubland,No,No,No,Lowland (mean elevation < 200m),No,Mediterranean,Warm (20-25 C),No,No,No,Moderate (500-1000 mm),Micro (< 1M),Very dense (> 1000),Indo-European,1,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",finance,services,Euro,constitutional monarchy,Yes,No,No,No,No,No,Yes,No
Mongolia,Asia,Eastern Asia,Yes,No,None,2,grassland,Yes,No,Yes,High (1000-2000m),No,Arid,Cold (0-10 C),No,No,No,Semi-arid (250-500 mm),Small (1M-10M),Very sparse (< 25),Mongolic,1,Buddhism,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",mining/extractives,minerals,own free-floating currency,parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Montenegro,Europe,Southern Europe,No,No,Atlantic,5,temperate forest,No,No,Yes,Moderate (500-1000m),No,Mediterranean,Mild (10-20 C),No,No,No,Very wet (> 2000 mm),Micro (< 1M),Sparse (25-100),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"High ($15,000-$40,000)",services,minerals,Euro,parliamentary republic,Yes,Yes,No,No,Yes,No,Yes,No
Morocco,Africa,Northern Africa,No,No,Atlantic,3,desert,Yes,No,Yes,Moderate (500-1000m),No,Mediterranean,Warm (20-25 C),No,No,No,Semi-arid (250-500 mm),Medium (10M-50M),Sparse (25-100),Afro-Asiatic,2,Islam,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",services,agricultural products,own pegged currency (other),constitutional monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Mozambique,Africa,Eastern Africa,No,No,Indian,6,savanna,No,Yes,Yes,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Wet (1000-2000 mm),Medium (10M-50M),Sparse (25-100),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Myanmar,Asia,Southeast Asia,No,No,Indian,5,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Moderate (100-300),Sino-Tibetan,1,Buddhism,Mixed (50-70%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own managed currency (other),military junta,Yes,No,No,No,Yes,No,Yes,Yes
Namibia,Africa,Southern Africa,No,No,Atlantic,4,desert,Yes,No,No,Moderate (500-1000m),No,Arid,Warm (20-25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very sparse (< 25),Niger-Congo,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,minerals,own pegged currency (other),presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Nauru,Oceania,Micronesia,No,Yes,Pacific,0,tropical rainforest,No,No,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Moderate (500-1000 mm),Micro (< 1M),Dense (300-1000),Austronesian,1,Christianity,Highly urban (> 85%),Middle (25-35),"High ($15,000-$40,000)",mining/extractives,minerals,own pegged currency (other),parliamentary republic,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Nepal,Asia,Southern Asia,Yes,No,None,2,mountain/alpine,No,Yes,Yes,Very high (> 2000m),No,Highland,Cold (0-10 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Hinduism,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),federal parliamentary republic,Yes,No,No,No,Yes,No,Yes,Yes
Netherlands,Europe,Western Europe,No,No,Atlantic,2,temperate forest,No,No,No,Lowland (mean elevation < 200m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Dense (300-1000),Indo-European,2,Christianity,Highly urban (> 85%),Aged (> 42),"Very high (> $40,000)",services,machinery,Euro,constitutional monarchy,Yes,Yes,No,Yes,No,No,Yes,Yes
New Zealand,Oceania,Australia and New Zealand,No,Yes,Pacific,0,temperate forest,No,Yes,Yes,Moderate (500-1000m),Yes,Temperate,Mild (10-20 C),No,No,No,Wet (1000-2000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,2,Christianity,Highly urban (> 85%),Older (35-42),"Very high (> $40,000)",services,agricultural products,own free-floating currency,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Nicaragua,North America,Central America,No,No,Atlantic,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own pegged currency (other),presidential republic,Yes,No,No,No,No,No,Yes,Yes
Niger,Africa,Western Africa,Yes,No,None,7,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Medium (10M-50M),Very sparse (< 25),Afro-Asiatic,1,Islam,Mostly rural (< 30%),Very young (< 20),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,military junta,Yes,No,No,No,Yes,No,Yes,Yes
Nigeria,Africa,Western Africa,No,No,Atlantic,4,savanna,No,Yes,No,Lowland (< 200m),No,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Mega (> 200M),Dense (300-1000),Niger-Congo,1,Islam,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",oil & gas,oil & gas,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
North Korea,Asia,Eastern Asia,No,No,Pacific,3,temperate forest,No,No,Yes,Moderate (500-1000m),Yes,Temperate,Cold (0-10 C),No,No,Yes,Moderate (500-1000 mm),Medium (10M-50M),Dense (300-1000),Koreanic,1,Non-religious,Urban-leaning (70-85%),Middle (25-35),"Low income (< $1,000)",manufacturing,minerals,own pegged currency (other),one-party state,Yes,No,No,No,Yes,No,Yes,Yes
North Macedonia,Europe,Southern Europe,Yes,No,None,5,temperate forest,No,No,Yes,Moderate (500-1000m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Sparse (25-100),Indo-European,2,Christianity,Mixed (50-70%),Older (35-42),"Upper-middle ($4,000-$15,000)",services,machinery,own pegged currency (other),parliamentary republic,Yes,Yes,No,No,Yes,No,Yes,No
Norway,Europe,Northern Europe,No,No,Atlantic,3,boreal forest,No,No,Yes,Moderate (500-1000m),No,Polar,Cold (0-10 C),No,Yes,No,Wet (1000-2000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,2,Christianity,Highly urban (> 85%),Older (35-42),"Very high (> $40,000)",oil & gas,oil & gas,own free-floating currency,constitutional monarchy,Yes,Yes,No,No,Yes,No,Yes,No
Oman,Asia,Western Asia,No,No,Indian,3,desert,Yes,No,Yes,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,Yes,Arid (< 250 mm),Small (1M-10M),Sparse (25-100),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Middle (25-35),"High ($15,000-$40,000)",oil & gas,oil & gas,own pegged currency (other),absolute monarchy,Yes,No,Yes,No,Yes,No,Yes,Yes
Pakistan,Asia,Southern Asia,No,No,Indian,4,desert,Yes,No,Yes,Moderate (500-1000m),No,Arid,Warm (20-25 C),Yes,No,Yes,Arid (< 250 mm),Mega (> 200M),Dense (300-1000),Indo-European,1,Islam,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",agriculture,agricultural products,own free-floating currency,federal parliamentary republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Palau,Oceania,Micronesia,No,Yes,Pacific,0,tropical rainforest,No,Yes,No,Lowland (mean elevation < 200m),No,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Micro (< 1M),Sparse (25-100),Austronesian,2,Christianity,Highly urban (> 85%),Older (35-42),"High ($15,000-$40,000)",tourism,services,US Dollar (official use),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Palestine,Asia,Western Asia,No,No,Atlantic,2,mediterranean shrubland,No,No,Yes,Lowland (< 200m),No,Mediterranean,Warm (20-25 C),No,No,No,Moderate (500-1000 mm),Small (1M-10M),Dense (300-1000),Afro-Asiatic,1,Islam,Urban-leaning (70-85%),Young (20-25),"Lower-middle ($1,000-$4,000)",services,services,own pegged currency (other),transitional/provisional government,No,No,No,No,Yes,No,Yes,Yes
Panama,North America,Central America,No,No,Pacific,2,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Very wet (> 2000 mm),Small (1M-10M),Sparse (25-100),Indo-European,1,Christianity,Urban-leaning (70-85%),Middle (25-35),"High ($15,000-$40,000)",services,services,US Dollar (official use),presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Papua New Guinea,Oceania,Melanesia,No,Yes,Pacific,1,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Medium (10M-50M),Very sparse (< 25),Austronesian,4,Christianity,Mostly rural (< 30%),Young (20-25),"Lower-middle ($1,000-$4,000)",mining/extractives,oil & gas,own free-floating currency,constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Paraguay,South America,South America,Yes,No,None,3,savanna,No,Yes,No,Low-to-moderate (200-500m),No,Tropical,Warm (20-25 C),Yes,No,No,Moderate (500-1000 mm),Small (1M-10M),Very sparse (< 25),Indo-European,2,Christianity,Mixed (50-70%),Middle (25-35),"Upper-middle ($4,000-$15,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Peru,South America,South America,No,No,Pacific,5,tropical rainforest,Yes,Yes,Yes,Moderate (500-1000m),Yes,Highland,Warm (20-25 C),Yes,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,3,Christianity,Highly urban (> 85%),Middle (25-35),"Upper-middle ($4,000-$15,000)",mining/extractives,minerals,own free-floating currency,presidential republic,Yes,No,No,No,No,No,Yes,Yes
Philippines,Asia,Southeast Asia,No,Yes,Pacific,0,tropical rainforest,No,Yes,Yes,Moderate (500-1000m),Yes,Tropical,Hot (> 25 C),Yes,No,Yes,Very wet (> 2000 mm),Large (50M-200M),Dense (300-1000),Austronesian,2,Christianity,Mixed (50-70%),Young (20-25),"Lower-middle ($1,000-$4,000)",services,electronics,own free-floating currency,presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Poland,Europe,Eastern Europe,No,No,Atlantic,7,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",manufacturing,machinery,own free-floating currency,parliamentary republic,Yes,Yes,No,Yes,Yes,No,Yes,No
Portugal,Europe,Southern Europe,No,No,Atlantic,1,mediterranean shrubland,No,No,Yes,Low-to-moderate (200-500m),Yes,Mediterranean,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Moderate (100-300),Indo-European,2,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,Euro,semi-presidential republic,Yes,Yes,No,Yes,No,No,Yes,Yes
Qatar,Asia,Western Asia,No,No,Indian,1,desert,Yes,No,No,Lowland (< 200m),No,Arid,Hot (> 25 C),No,No,No,Arid (< 250 mm),Small (1M-10M),Very dense (> 1000),Afro-Asiatic,1,Islam,Highly urban (> 85%),Middle (25-35),"Very high (> $40,000)",oil & gas,oil & gas,own pegged currency (other),absolute monarchy,Yes,No,No,No,Yes,No,Yes,Yes
Romania,Europe,Eastern Europe,No,No,Atlantic,5,temperate forest,No,No,Yes,Low-to-moderate (200-500m),No,Temperate,Mild (10-20 C),No,No,No,Moderate (500-1000 mm),Medium (10M-50M),Sparse (25-100),Indo-European,1,Christianity,Mixed (50-70%),Aged (> 42),"High ($15,000-$40,000)",services,machinery,own free-floating currency,semi-presidential republic,Yes,Yes,No,Yes,No,No,Yes,No
Russia,Europe,Eastern Europe,No,No,Arctic,14,boreal forest,No,No,Yes,Low-to-moderate (200-500m),Yes,Polar,Very cold (< 0 C),No,Yes,No,Semi-arid (250-500 mm),Large (50M-200M),Very sparse (< 25),Indo-European,1,Christianity,Urban-leaning (70-85%),Aged (> 42),"High ($15,000-$40,000)",oil & gas,oil & gas,own free-floating currency,semi-presidential republic,Yes,No,No,No,Yes,No,Yes,Yes
Rwanda,Africa,Eastern Africa,Yes,No,None,4,savanna,No,No,Yes,Moderate (500-1000m),Yes,Tropical,Warm (20-25 C),Yes,No,Yes,Moderate (500-1000 mm),Small (1M-10M),Very dense (> 1000),Niger-Congo,1,Christianity,Mostly rural (< 30%),Young (20-25),"Low income (< $1,000)",agriculture,agricultural products,own free-floating currency,presidential republic,Yes,No,Yes,No,Yes,No,Yes,Yes
Saint Kitts and Nevis,North America,Caribbean,No,Yes,Atlantic,0,tropical rainforest,No,Yes,Yes,Low-to-moderate (200-500m),Yes,Tropical,Hot (> 25 C),Yes,No,No,Wet (1000-2000 mm),Micro (< 1M),Moderate (100-300),Indo-European,1,Christianity,Mixed (50-70%),Older (35-42),"High ($15,000-$40,000)",tourism,services,Eastern Caribbean Dollar (ECCU),constitutional monarchy,Yes,No,Yes,No,Yes,Yes,Yes,Yes
